smiles,predicted_activity
O=C1NC(=O)c2cc(Br)ccc2C1=O,9.178801
Nc1cc(N)cc(C(=O)Nc2ccc3c(c2)C(=O)NC3=O)c1,8.946725
CCc1ccc2c(c1)/C(=C1/NC(=S)NC1=O)C(=O)N2,8.85217
CC(NCc1ccc(F)cc1)=C1C(=O)NC(=O)NC1=O,8.82038
O=C(Nc1ccc2c(c1)C(=O)NC2=O)Nc1cnc[nH]1,8.802519
O=c1[nH]nc(SCc2ccc(F)cc2)c(=O)[nH]1,8.800903
O=C(Nc1ccc2c(c1)C(=O)NC2=O)c1cnccn1,8.765962
COC(=O)Cc1cc(=O)oc2cc(O)cc(O)c12,8.703555
O=C(O)/C=C/C(=O)Nc1cc(CC(=O)O)ccc1O,8.69931
O=C(Nc1cccc2c1C(=O)NC2=O)c1ccno1,8.682634
Cc1nnsc1C(=O)NCc1ccc2[nH]c(=O)[nH]c2c1,8.68044
C[C@@H](OC(=O)c1cc(=O)c2ccccc2o1)C(N)=O,8.669889
C[C@H](OC(=O)c1cc(=O)c2ccccc2o1)C(N)=O,8.669889
NC1=NC(=O)[C@@](Cl)(Cc2ccc(C(=O)O)cc2)C(O)=N1,8.656087
O=C(CNC(=O)c1cc[nH]c(=O)c1)OCc1ccccc1,8.646136
NCc1ccc(COc2nc(N)nc3nc[nH]c23)cc1,8.638523
NC(=O)c1cc(C(=O)c2ccccc2O)c[nH]c1=O,8.619604
O=C(NCc1cccc(F)c1)C(=O)Nc1c[nH]ccc1=O,8.618886
O=C(O)/C=C\C(=O)Nc1ccc(OCC(=O)O)cc1,8.591306
O=C1NC(=O)c2cc(NC(=O)[C@H]3CCCO3)ccc21,8.590236
O=C1NC(=O)c2cc(NC(=O)[C@@H]3CCCO3)ccc21,8.590236
Cc1nnc(Nc2ccc(CC(=O)O)cc2)[nH]c1=O,8.581004
NCc1ccc(CNC(=O)c2ccc(C(N)=O)[nH]2)cc1,8.579652
O=C(O)/C=C/C(=O)Nc1ccc(O)c(C(=O)O)c1,8.567663
O=C(O)/C=C\C(=O)Nc1ccc(O)c(C(=O)O)c1,8.567663
O=C(O)/C=C/C(=O)Nc1ccc(C(=O)O)c(O)c1,8.56277
Cc1cnc(C(=O)NCc2ccc3[nH]c(=O)[nH]c3c2)cn1,8.548329
