smiles,predicted_activity
O=C(CNC(=O)c1cc[nH]c(=O)c1)OCc1ccccc1,9.932636
NC(=O)[C@@H](O)CNC(=O)c1cccc(CC(F)(F)F)c1,9.660087
NC(=O)[C@H](O)CNC(=O)c1cccc(CC(F)(F)F)c1,9.660087
NC(=O)c1ccc(C(=O)NCC[C@@H](O)C(F)(F)F)cn1,9.587552
NC(=O)c1ccc(C(=O)NCC[C@H](O)C(F)(F)F)cn1,9.587552
O=C(O)[C@H]1CC2(OCCO2)[C@H]2CC[C@H]3C[C@@]12C(=O)O3,9.502571
O=C(O)[C@H]1CC2(OCCO2)[C@@H]2CC[C@H]3C[C@@]12C(=O)O3,9.502571
O=C(O)[C@@H]1CC2(OCCO2)[C@@H]2CC[C@H]3C[C@@]12C(=O)O3,9.502571
O=C(O)[C@@H]1CC2(OCCO2)[C@H]2CC[C@H]3C[C@]21C(=O)O3,9.502571
NCCOc1cccc(C(=O)NCC(=O)NC2CC2)c1,9.483784
CC(C)S(=O)(=O)NCCNC(=O)c1ccccc1,9.472122
O=C1NC(=O)c2cc(Br)ccc2C1=O,9.457958
CS(=O)(=O)C1(CNC(=O)c2ccnc(F)c2)CC1,9.42237
CC(=O)NCCNC(=O)c1cccc(C(=O)O)c1,9.385746
CS(=O)(=O)C1(CNC(=O)c2cncc(F)c2)CCC1,9.375207
O=C(NCc1nc(-c2cc[nH]c(=O)c2)no1)c1ccoc1,9.369711
CCNC(=O)c1cccc(S(=O)(=O)NCC)c1,9.353997
NCCOc1cccc(C(=O)NCCc2cc[nH]n2)c1,9.343651
O=C(NC[C@@]1(OCCO)CCOC1)c1cccc(F)c1,9.306642
O=C(NC[C@]1(OCCO)CCOC1)c1cccc(F)c1,9.306642
COc1cccc(CNC(=O)c2cc[nH]c(=O)c2)n1,9.303467
Cc1cc(S(=O)(=O)N[C@@H](C)C(=O)O)ccc1F,9.287519
C[C@@]1(NS(=O)(=O)c2ccccc2)CCS(=O)(=O)C1,9.286495
C[C@]1(NS(=O)(=O)c2ccccc2)CCS(=O)(=O)C1,9.286495
COC(=O)c1cccc(C(=O)NCCNC(C)=O)c1,9.247177
O=C(NC[C@H](C(=O)O)C1CCOCC1)c1ccncc1,9.236354
O=C(NC[C@@H](C(=O)O)C1CCOCC1)c1ccncc1,9.236354
O=C(NCc1nc(C(=O)O)cs1)c1cc[nH]c(=O)c1,9.236155
Cc1ccc(C(=O)C(=O)N[C@@]2(C)CCS(=O)(=O)C2)cc1,9.229649
Cc1ccc(C(=O)C(=O)N[C@]2(C)CCS(=O)(=O)C2)cc1,9.229649
CC(=O)NCCNC(=O)c1ccc(C(=O)O)cc1,9.229341
O=S1(=O)C[C@@H](O)[C@@H](NCc2cccc(F)c2)C1,9.2239485
O=S1(=O)C[C@H](O)[C@@H](NCc2cccc(F)c2)C1,9.2239485
O=S1(=O)C[C@@H](NCc2cccc(F)c2)[C@@H](O)C1,9.2239485
O=S1(=O)C[C@@H](O)[C@H](NCc2cccc(F)c2)C1,9.2239485
O=C(CNC(=O)c1ccoc1)NCC(F)(F)F,9.204932
