,epoch,preds,mode
0,1,-1.8436784,valid
1,1,-0.5759339,valid
2,1,-2.6193478,valid
3,1,-2.859802,valid
4,1,-3.4023244,valid
5,1,-2.8198974,valid
6,1,-2.231323,valid
7,1,-3.0031445,valid
8,1,-1.7813191,valid
9,1,-2.4206405,valid
10,1,-2.5514834,valid
11,1,-3.5128016,valid
12,1,-2.4990327,valid
13,1,-4.0704827,valid
14,1,-2.6176145,valid
15,1,-2.2473748,valid
16,1,-1.9003978,valid
17,1,0.6517828,valid
18,1,-1.6015707,valid
19,1,-3.6801865,valid
20,1,0.064513594,valid
21,1,0.32066056,valid
22,1,-3.8351972,valid
23,1,-1.8567413,valid
24,1,-1.7687024,valid
25,1,-1.5508051,valid
26,1,-2.3073041,valid
27,1,-1.3211576,valid
28,1,-1.8501518,valid
29,1,-1.6448438,valid
30,1,-0.6116407,valid
31,1,-0.30323493,valid
32,1,-2.5294044,valid
33,1,-0.4076995,valid
34,1,-1.7692554,valid
35,1,-4.129971,valid
36,1,-1.0774689,valid
37,1,-2.0928535,valid
38,1,-3.4569247,valid
39,1,-1.9295087,valid
40,1,-2.861854,valid
41,1,-2.338438,valid
42,1,-4.1539598,valid
43,1,0.21645913,valid
44,1,-3.8549976,valid
45,1,-2.1051118,valid
46,1,-1.9507828,valid
47,1,0.56017125,valid
48,1,-3.5712543,valid
49,1,-5.96244,valid
50,1,-1.9411575,valid
51,1,-1.6890864,valid
52,1,-1.6522346,valid
53,1,-0.2856341,valid
54,1,-3.3005714,valid
55,1,-5.152339,valid
56,1,-3.5120885,valid
57,1,-3.2233474,valid
58,1,-0.35080993,valid
59,1,-1.328352,valid
60,1,-0.90565485,valid
61,1,-3.5270755,valid
62,1,-3.7621706,valid
63,1,-1.917496,valid
64,1,-1.4295361,valid
65,1,-2.4496996,valid
66,1,-3.3449147,valid
67,1,-3.053944,valid
68,1,-1.6302484,valid
69,1,-1.6522365,valid
70,1,-1.3510549,valid
71,1,-3.7556586,valid
72,1,-2.3012762,valid
73,1,-0.07018985,valid
74,1,-2.65671,valid
75,1,-1.8269112,valid
76,1,-2.449621,valid
77,1,-0.44514832,valid
78,1,-3.594292,valid
79,1,-2.8269148,valid
80,1,-3.3228014,valid
81,1,-1.3777775,valid
82,1,-2.6275604,valid
83,1,-3.60379,valid
84,1,-2.7705324,valid
85,1,-1.6920753,valid
86,1,-4.789166,valid
87,1,-1.6143868,valid
88,1,-2.4508016,valid
89,1,-2.6823878,valid
90,1,-1.1635532,valid
91,1,-1.0269575,valid
92,1,-1.8321218,valid
93,1,-2.6219678,valid
94,1,-0.9447244,valid
95,1,-1.2593212,valid
96,1,-4.7470775,valid
97,1,-2.073787,valid
98,1,0.2948224,valid
99,1,-2.7587664,valid
100,1,0.27201962,valid
101,1,-0.5923085,valid
102,1,-3.637545,valid
103,1,-2.4034398,valid
104,1,-4.0082097,valid
105,1,-3.568947,valid
106,1,-3.0847292,valid
107,1,-1.2949535,valid
108,1,-2.0388777,valid
109,1,-6.6942654,valid
110,1,-2.3640044,valid
111,1,-2.4044013,valid
112,1,-0.6841567,valid
113,1,-2.211149,valid
114,1,-3.1437073,valid
115,1,-2.5988283,valid
116,1,-1.812636,valid
117,1,-1.0829284,valid
118,1,0.043294612,valid
119,1,-0.06366402,valid
120,1,-0.9051567,valid
121,1,-1.3272393,valid
122,1,0.5205896,valid
123,1,-6.4832315,valid
124,1,-3.9830468,valid
125,1,0.059354547,valid
126,1,-3.9259956,valid
127,1,-2.1270478,valid
128,1,-3.2601464,valid
129,1,-0.15625975,valid
