,smiles,LogP,model
0,Cc1cccnc1-c1ccc(N2C(=O)CSC2c2ccc(Cl)cc2Cl)cc1,6.14242,pre
1,CCC(C)(C)C1CCC2(CC1)NC(=O)N(CC(=O)OC)N(CCc1ccccc1F)C2=O,3.6752,pre
2,CCOC(=O)C1C2COc3ccc(C(F)(F)F)cc3C2N2C(=O)C(c3ccc(O)cc3)=C12,3.9071,pre
3,O=C(NN1C(=O)C(Cl)C2(O)C(O)C(O)C(O)C1O)c1ccccc12,0.0,pre
4,CCC(CO)NC(=O)c1cc(C(C)C)[nH]n1,1.0338,pre
5,O=C(COC(=O)c1ccc(C(F)(F)F)nc1)c1ccccc1,3.1401,pre
6,N#Cc1cccc(C(=O)NC(Cc2ccc3c(c2)C(=O)CC(Cc2ccccc2)C(N)=O)N3)c1,3.19938,pre
7,Fc1cccc(-c2nccc(NCc3cccc(Oc4ccccc4)c3)n2)c1,5.6871,pre
8,NC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(c1ccc(F)cc1)N(CC1CCCO1)C(=O)OCc1ccccc1,4.5617,pre
9,Cc1ccc2oc(=O)c(C(=O)O)c(O)c2c1,1.50522,pre
10,Cn1c(-c2ccc(Cl)cc2)cc(-c2ccnc3ncccc23)c1C(=O)NCCC(=N)N,4.01157,pre
11,COc1cc(C=NNC(=O)c2nc3ccccc3nc2-c2ccc(OC)cc2)ccc1O,3.7835,pre
12,COc1cccc(-c2csc3ncnc(N4CCCN(C)CC4)c23)c1,3.5088,pre
13,O=C(O)c1cccc(-c2ccc3c(C(=O)O)c(O)c(-c4cccc(F)c4)n3c2)c1,4.5144,pre
14,c1ccc2nc(Nc3ccc4nc(-c5ccc(O)cc5)ccc4c3)[nH]c2c1,5.2273,pre
15,COCCc1ccc(Cl)c(CN(C(=O)C2CNCC(=O)N2c2ccc(C#Cc3cccc(F)c3)cc2)C(F)(F)F)c1,4.9212,pre
16,OC(Cc1ccc2c(c1)C(O)CC2)C(=O)O,0.6542,pre
17,OC1COC(n2cc(Cc3ccccc3)c3c(F)cc(-c4ccncc4)cc32)C(O)C1O,3.0447,pre
18,CC(=O)NCC(=O)NC(CC(=O)O)C(=O)CN1C(=O)N(C)C(Cc2ccccc2)C1=O,0.0,pre
19,O=C1CN(Cc2ccc(F)cc2)CCN1Cc1ccccc1F,2.8092,pre
